charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None, None]",123,0,0,2,54,[]
"[None, None, None]",124,0,0,3,54,[]
"[None, None, None]",125,0,0,4,54,[]
"[None, None, None]",126,0,0,5,54,[]
"[None, None, None]",127,0,0,6,54,[]
"[None, None, None]",128,0,0,7,54,[]
"[None, None, None]",121,0,0,0,55,[]
"[None, None, None]",122,0,0,1,55,[]
"[None, None, None]",123,0,0,2,55,[]
"[None, None, None]",124,0,0,3,55,[]
"[None, None, None]",125,0,0,4,55,[]
"[None, None, None]",126,0,0,5,55,[]
"[None, None, None]",127,0,0,6,55,[]
"[None, None, None]",128,0,0,7,55,[]
"[None, None, None]",121,0,0,0,56,[]
"[None, None, None]",122,0,0,1,56,[]
"[None, None, None]",123,0,0,2,56,[]
"[None, None, None]",124,0,0,3,56,[]
"[None, None, None]",125,0,0,4,56,[]
"[None, None, None]",126,0,0,5,56,[]
"[None, None, None]",127,0,0,6,56,[]
"[None, None, None]",128,0,0,7,56,[]
"[None, None, None]",121,0,0,0,57,[]
"[None, None, None]",122,0,0,1,57,[]
"[None, None, None]",123,0,0,2,57,[]
"[None, None, None]",124,0,0,3,57,[]
"[None, None, None]",125,0,0,4,57,[]
"[None, None, None]",126,0,0,5,57,[]
"[None, None, None]",127,0,0,6,57,[]
"[None, None, None]",128,0,0,7,57,[]
"[None, None, None]",121,0,0,0,58,[]
"[None, None, None]",122,0,0,1,58,[]
"[None, None, None]",123,0,0,2,58,[]
"[None, None, None]",124,0,0,3,58,[]
"[None, None, None]",125,0,0,4,58,[]
"[None, None, None]",126,0,0,5,58,[]
"[None, None, None]",127,0,0,6,58,[]
"[None, None, None]",128,0,0,7,58,[]
"[None, None, None]",121,0,0,0,59,[]
"[None, None, None]",122,0,0,1,59,[]
"[None, None, None]",123,0,0,2,59,[]
"[None, None, None]",124,0,0,3,59,[]
"[None, None, None]",125,0,0,4,59,[]
"[None, None, None]",126,0,0,5,59,[]
"[None, None, None]",127,0,0,6,59,[]
"[None, None, None]",128,0,0,7,59,[]
"[None, None, None]",121,0,0,0,60,[]
"[None, None, None]",122,0,0,1,60,[]
"[None, None, None]",123,0,0,2,60,[]
"[None, None, None]",124,0,0,3,60,[]
"[None, None, None]",125,0,0,4,60,[]
"[None, None, None]",126,0,0,5,60,[]
"[None, None, None]",127,0,0,6,60,[]
"[None, None, None]",128,0,0,7,60,[]
"[None, None, None]",121,0,0,0,61,[]
"[None, None, None]",122,0,0,1,61,[]
"[None, None, None]",123,0,0,2,61,[]
"[None, None, None]",124,0,0,3,61,[]
"[None, None, None]",125,0,0,4,61,[]
"[None, None, None]",126,0,0,5,61,[]
"[None, None, None]",127,0,0,6,61,[]
"[None, None, None]",128,0,0,7,61,[]
"[None, None, None]",121,0,0,0,62,[]
"[None, None, None]",122,0,0,1,62,[]
"[None, None, None]",123,0,0,2,62,[]
"[None, None, None]",124,0,0,3,62,[]
"[None, None, None]",125,0,0,4,62,[]
"[None, None, None]",126,0,0,5,62,[]
"[None, None, None]",127,0,0,6,62,[]
"[None, None, None]",128,0,0,7,62,[]
"[None, None, None]",121,0,0,0,63,[]
"[None, None, None]",122,0,0,1,63,[]
"[None, None, None]",123,0,0,2,63,[]
"[None, None, None]",124,0,0,3,63,[]
"[None, None, None]",125,0,0,4,63,[]
"[None, None, None]",126,0,0,5,63,[]
"[None, None, None]",127,0,0,6,63,[]
"[None, None, None]",128,0,0,7,63,[]
"[None, None, None]",121,0,0,0,64,[]
"[None, None, None]",122,0,0,1,64,[]
"[None, None, None]",123,0,0,2,64,[]
"[None, None, None]",124,0,0,3,64,[]
"[None, None, None]",125,0,0,4,64,[]
"[None, None, None]",126,0,0,5,64,[]
"[None, None, None]",127,0,0,6,64,[]
"[None, None, None]",128,0,0,7,64,[]
"[None, None, None]",121,0,0,0,65,[]
"[None, None, None]",122,0,0,1,65,[]
"[None, None, None]",123,0,0,2,65,[]
"[None, None, None]",124,0,0,3,65,[]
"[None, None, None]",125,0,0,4,65,[]
"[None, None, None]",126,0,0,5,65,[]
"[None, None, None]",127,0,0,6,65,[]
"[None, None, None]",128,0,0,7,65,[]
"[None, None, None]",121,0,0,0,66,[]
"[None, None, None]",122,0,0,1,66,[]
"[None, None, None]",123,0,0,2,66,[]
"[None, None, None]",124,0,0,3,66,[]
"[None, None, None]",125,0,0,4,66,[]
"[None, None, None]",126,0,0,5,66,[]
"[None, None, None]",127,0,0,6,66,[]
"[None, None, None]",128,0,0,7,66,[]
"[None, None, None]",121,0,0,0,67,[]
"[None, None, None]",122,0,0,1,67,[]
"[None, None, None]",123,0,0,2,67,[]
"[None, None, None]",124,0,0,3,67,[]
"[None, None, None]",125,0,0,4,67,[]
"[None, None, None]",126,0,0,5,67,[]
"[None, None, None]",127,0,0,6,67,[]
"[None, None, None]",128,0,0,7,67,[]
"[None, None, None]",121,0,0,0,68,[]
