event_type,node,reason,station_id,task_id,time,vehicle_id
charge_unreachable,0,,,,453,12
charge_unreachable,0,,,,453,13
charge_unreachable,0,,,,454,0
charge_unreachable,0,,,,454,1
charge_unreachable,0,,,,454,2
charge_unreachable,0,,,,454,3
task_completed,,,,228,454,
charge_unreachable,0,,,,454,7
charge_unreachable,0,,,,454,8
charge_unreachable,0,,,,454,10
charge_unreachable,0,,,,454,12
charge_unreachable,0,,,,454,13
task_released,,,,132,455,
charge_unreachable,0,,,,455,0
charge_unreachable,0,,,,455,1
charge_unreachable,0,,,,455,2
charge_unreachable,0,,,,455,3
charge_unreachable,0,,,,455,7
charge_unreachable,0,,,,455,8
charge_unreachable,0,,,,455,10
charge_unreachable,0,,,,455,12
charge_unreachable,0,,,,455,13
task_released,,,,275,456,
charge_unreachable,0,,,,456,0
charge_unreachable,0,,,,456,1
charge_unreachable,0,,,,456,2
charge_unreachable,0,,,,456,3
charge_unreachable,0,,,,456,7
charge_unreachable,0,,,,456,8
charge_unreachable,0,,,,456,10
charge_unreachable,0,,,,456,12
charge_unreachable,0,,,,456,13
charge_unreachable,0,,,,457,0
charge_unreachable,0,,,,457,1
charge_unreachable,0,,,,457,2
charge_unreachable,0,,,,457,3
charge_unreachable,0,,,,457,7
charge_unreachable,0,,,,457,8
charge_unreachable,0,,,,457,10
charge_unreachable,0,,,,457,12
charge_unreachable,0,,,,457,13
charge_unreachable,0,,,,458,0
charge_unreachable,0,,,,458,1
charge_unreachable,0,,,,458,2
charge_unreachable,0,,,,458,3
charge_unreachable,0,,,,458,7
charge_unreachable,0,,,,458,8
charge_unreachable,0,,,,458,10
charge_unreachable,0,,,,458,12
charge_unreachable,0,,,,458,13
task_completed,,,,69,458,
vehicle_became_idle,,reach_depot,,,458,17
charge_unreachable,0,,,,458,17
task_released,,,,5,459,
charge_unreachable,0,,,,459,0
charge_unreachable,0,,,,459,1
charge_unreachable,0,,,,459,2
charge_unreachable,0,,,,459,3
charge_unreachable,0,,,,459,7
charge_unreachable,0,,,,459,8
charge_unreachable,0,,,,459,10
charge_unreachable,0,,,,459,12
